sepal_length,sepal_width,petal_length,petal_width,species,"distance of (3.6, 2.0)"
5.1,3.5,1.4,0.2,setosa,2.842
4.9,3,1.4,0.2,setosa,2.842
4.7,3.2,1.3,0.2,setosa,2.92
4.6,3.1,1.5,0.2,setosa,2.765
5,3.6,1.4,0.2,setosa,2.842
5.4,3.9,1.7,0.4,setosa,2.62
4.6,3.4,1.4,0.3,setosa,2.78
5,3.4,1.5,0.2,setosa,2.765
4.4,2.9,1.4,0.2,setosa,2.842
4.9,3.1,1.5,0.1,setosa,2.831
5.4,3.7,1.5,0.2,setosa,2.765
4.8,3.4,1.6,0.2,setosa,2.69
4.8,3,1.4,0.1,setosa,2.906
4.3,3,1.1,0.1,setosa,3.14
5.8,4,1.2,0.2,setosa,3
5.7,4.4,1.5,0.4,setosa,2.64
5.4,3.9,1.3,0.4,setosa,2.801
5.1,3.5,1.4,0.3,setosa,2.78
5.7,3.8,1.7,0.3,setosa,2.549
5.1,3.8,1.5,0.3,setosa,2.701
5.4,3.4,1.7,0.2,setosa,2.62
5.1,3.7,1.5,0.4,setosa,2.64
4.6,3.6,1,0.2,setosa,3.162
5.1,3.3,1.7,0.5,setosa,2.42
4.8,3.4,1.9,0.2,setosa,2.47
5,3,1.6,0.2,setosa,2.69
5,3.4,1.6,0.4,setosa,2.56
5.2,3.5,1.5,0.2,setosa,2.765
5.2,3.4,1.4,0.2,setosa,2.84
4.7,3.2,1.6,0.2,setosa,2.69
4.8,3.1,1.6,0.2,setosa,2.69
5.4,3.4,1.5,0.4,setosa,2.64
5.2,4.1,1.5,0.1,setosa,2.831
5.5,4.2,1.4,0.2,setosa,2.84
4.9,3.1,1.5,0.1,setosa,2.831
5,3.2,1.2,0.2,setosa,3.01
5.5,3.5,1.3,0.2,setosa,2.92
4.9,3.1,1.5,0.1,setosa,2.831
4.4,3,1.3,0.2,setosa,2.92
5.1,3.4,1.5,0.2,setosa,2.765
5,3.5,1.3,0.3,setosa,2.86
4.5,2.3,1.3,0.3,setosa,2.86
4.4,3.2,1.3,0.2,setosa,2.92
5,3.5,1.6,0.6,setosa,2.44
5.1,3.8,1.9,0.4,setosa,2.33
4.8,3,1.4,0.3,setosa,2.78
5.1,3.8,1.6,0.2,setosa,2.69
4.6,3.2,1.4,0.2,setosa,2.842
5.3,3.7,1.5,0.2,setosa,2.765
5,3.3,1.4,0.2,setosa,2.842
7,3.2,4.7,1.4,versicolor,1.252
6.4,3.2,4.5,1.5,versicolor,1.029
6.9,3.1,4.9,1.5,versicolor,1.392
5.5,2.3,4,1.3,versicolor,0.806
6.5,2.8,4.6,1.5,versicolor,1.12
5.7,2.8,4.5,1.3,versicolor,1.14
6.3,3.3,4.7,1.6,versicolor,1.17
4.9,2.4,3.3,1,versicolor,1.04
6.6,2.9,4.6,1.3,versicolor,1.22
5.2,2.7,3.9,1.4,versicolor,0.67
5,2,3.5,1,versicolor,1.004
5.9,3,4.2,1.5,versicolor,0.78
6,2.2,4,1,versicolor,1.077
6.1,2.9,4.7,1.4,versicolor,1.252
5.6,2.9,3.6,1.3,versicolor,0.7
6.7,3.1,4.4,1.4,versicolor,1.001
5.6,3,4.5,1.5,versicolor,1.029
5.8,2.7,4.1,1,versicolor,1.118
6.2,2.2,4.5,1.5,versicolor,1.029
5.6,2.5,3.9,1.1,versicolor,0.948
5.9,3.2,4.8,1.8,versicolor,1.216
6.1,2.8,4,1.3,versicolor,0.806
6.3,2.5,4.9,1.5,versicolor,1.392
6.1,2.8,4.7,1.2,versicolor,1.36
6.4,2.9,4.3,1.3,versicolor,0.989
6.6,3,4.4,1.4,versicolor,1.001
6.8,2.8,4.8,1.4,versicolor,1.341
6.7,3,5,1.7,versicolor,1.431
6,2.9,4.5,1.5,versicolor,1.029
